01-06-2023 18:29:03 404 - 13.615934ms GET /  Wget -
01-06-2023 18:38:13 404 - 1.957342ms GET /  curl/8.1.2 -
01-06-2023 18:38:14 404 - 1.780947ms GET /  curl/8.1.2 -
01-06-2023 18:38:18 404 - 1.856733ms GET /  curl/8.1.2 -
01-06-2023 21:21:27 200 - 48.957908ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:21:41 200 - 50.412689ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:21:43 200 - 39.850184ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:21:43 200 - 45.985081ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:21:44 200 - 40.203584ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:23:27 200 - 46.573538ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:27:51 200 - 55.479649ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:27:55 200 - 41.130468ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:29:59 200 - 36.789453ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:35:55 200 - 43.378234ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:39:38 200 - 59.625506ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:40:54 200 - 42.485976ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:43:32 200 - 51.288887ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:43:45 200 - 37.512506ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:48:01 200 - 72.60298ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:53:11 200 - 44.117727ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
